	field	enumeration	enumeration_description
6736	in.weather_file_longitude	-94.2	
6737	in.weather_file_longitude	-94.27	
6738	in.weather_file_longitude	-94.3	
6739	in.weather_file_longitude	-94.35	
6740	in.weather_file_longitude	-94.37	
6741	in.weather_file_longitude	-94.4	
6742	in.weather_file_longitude	-94.42	
6743	in.weather_file_longitude	-94.5	
6744	in.weather_file_longitude	-94.52	
6745	in.weather_file_longitude	-94.59	
6746	in.weather_file_longitude	-94.7	
6747	in.weather_file_longitude	-94.71	
6748	in.weather_file_longitude	-94.72	
6749	in.weather_file_longitude	-94.74	
6750	in.weather_file_longitude	-94.75	
6751	in.weather_file_longitude	-94.78	
6752	in.weather_file_longitude	-94.81	
6753	in.weather_file_longitude	-94.86	
6754	in.weather_file_longitude	-94.89	
6755	in.weather_file_longitude	-94.9	
6756	in.weather_file_longitude	-94.91	
6757	in.weather_file_longitude	-94.92	
6758	in.weather_file_longitude	-94.93	
6759	in.weather_file_longitude	-94.98	
6760	in.weather_file_longitude	-95.02	
6761	in.weather_file_longitude	-95.03	
6762	in.weather_file_longitude	-95.07	
6763	in.weather_file_longitude	-95.08	
6764	in.weather_file_longitude	-95.1	
6765	in.weather_file_longitude	-95.16	
6766	in.weather_file_longitude	-95.2	
6767	in.weather_file_longitude	-95.21	
6768	in.weather_file_longitude	-95.23	
6769	in.weather_file_longitude	-95.24	
6770	in.weather_file_longitude	-95.25	
6771	in.weather_file_longitude	-95.32	
6772	in.weather_file_longitude	-95.34	
6773	in.weather_file_longitude	-95.36	
6774	in.weather_file_longitude	-95.37	
6775	in.weather_file_longitude	-95.39	
6776	in.weather_file_longitude	-95.4	
6777	in.weather_file_longitude	-95.41	
6778	in.weather_file_longitude	-95.45	
6779	in.weather_file_longitude	-95.48	
6780	in.weather_file_longitude	-95.5	
6781	in.weather_file_longitude	-95.55	
6782	in.weather_file_longitude	-95.57	
6783	in.weather_file_longitude	-95.59	
6784	in.weather_file_longitude	-95.63	
6785	in.weather_file_longitude	-95.66	
6786	in.weather_file_longitude	-95.7	
6787	in.weather_file_longitude	-95.75	
6788	in.weather_file_longitude	-95.78	
6789	in.weather_file_longitude	-95.82	
6790	in.weather_file_longitude	-95.83	
6791	in.weather_file_longitude	-95.88	
6792	in.weather_file_longitude	-95.89	
6793	in.weather_file_longitude	-95.9	
6794	in.weather_file_longitude	-95.97	
6795	in.weather_file_longitude	-95.98	
6796	in.weather_file_longitude	-96.02	
6797	in.weather_file_longitude	-96.05	
6798	in.weather_file_longitude	-96.17	
6799	in.weather_file_longitude	-96.18	
6800	in.weather_file_longitude	-96.19	
6801	in.weather_file_longitude	-96.25	
6802	in.weather_file_longitude	-96.27	
6803	in.weather_file_longitude	-96.3	
6804	in.weather_file_longitude	-96.36	
6805	in.weather_file_longitude	-96.38	
6806	in.weather_file_longitude	-96.4	
6807	in.weather_file_longitude	-96.42	
6808	in.weather_file_longitude	-96.52	
6809	in.weather_file_longitude	-96.53	
6810	in.weather_file_longitude	-96.59	
6811	in.weather_file_longitude	-96.62	
6812	in.weather_file_longitude	-96.68	
6813	in.weather_file_longitude	-96.75	
6814	in.weather_file_longitude	-96.76	
6815	in.weather_file_longitude	-96.8	
6816	in.weather_file_longitude	-96.81	
6817	in.weather_file_longitude	-96.85	
6818	in.weather_file_longitude	-96.93	
6819	in.weather_file_longitude	-96.95	
6820	in.weather_file_longitude	-96.97	
6821	in.weather_file_longitude	-96.99	
6822	in.weather_file_longitude	-97.04	
6823	in.weather_file_longitude	-97.05	
6824	in.weather_file_longitude	-97.07	
6825	in.weather_file_longitude	-97.09	
6826	in.weather_file_longitude	-97.1	
6827	in.weather_file_longitude	-97.12	
6828	in.weather_file_longitude	-97.15	
6829	in.weather_file_longitude	-97.18	
6830	in.weather_file_longitude	-97.2	
6831	in.weather_file_longitude	-97.22	
6832	in.weather_file_longitude	-97.23	
6833	in.weather_file_longitude	-97.27	
6834	in.weather_file_longitude	-97.3	
6835	in.weather_file_longitude	-97.32	
6836	in.weather_file_longitude	-97.33	
6837	in.weather_file_longitude	-97.38	
6838	in.weather_file_longitude	-97.4	
6839	in.weather_file_longitude	-97.42	
6840	in.weather_file_longitude	-97.44	
6841	in.weather_file_longitude	-97.45	
6842	in.weather_file_longitude	-97.51	
6843	in.weather_file_longitude	-97.6	
6844	in.weather_file_longitude	-97.65	
6845	in.weather_file_longitude	-97.66	
6846	in.weather_file_longitude	-97.67	
6847	in.weather_file_longitude	-97.68	
6848	in.weather_file_longitude	-97.77	
6849	in.weather_file_longitude	-97.82	
6850	in.weather_file_longitude	-97.83	
6851	in.weather_file_longitude	-97.85	
6852	in.weather_file_longitude	-97.86	
6853	in.weather_file_longitude	-97.98	
6854	in.weather_file_longitude	-97.99	
6855	in.weather_file_longitude	-98.03	
6856	in.weather_file_longitude	-98.04	
6857	in.weather_file_longitude	-98.05	
6858	in.weather_file_longitude	-98.06	
6859	in.weather_file_longitude	-98.18	
6860	in.weather_file_longitude	-98.23	
6861	in.weather_file_longitude	-98.24	
6862	in.weather_file_longitude	-98.28	
6863	in.weather_file_longitude	-98.31	
6864	in.weather_file_longitude	-98.4	
6865	in.weather_file_longitude	-98.42	
6866	in.weather_file_longitude	-98.43	
6867	in.weather_file_longitude	-98.46	
6868	in.weather_file_longitude	-98.47	
6869	in.weather_file_longitude	-98.49	
6870	in.weather_file_longitude	-98.55	
6871	in.weather_file_longitude	-98.68	
6872	in.weather_file_longitude	-98.83	
6873	in.weather_file_longitude	-98.85	
6874	in.weather_file_longitude	-98.9	
6875	in.weather_file_longitude	-98.98	
6876	in.weather_file_longitude	-99	
6877	in.weather_file_longitude	-99.05	
6878	in.weather_file_longitude	-99.17	
6879	in.weather_file_longitude	-99.2	
6880	in.weather_file_longitude	-99.22	
6881	in.weather_file_longitude	-99.27	
6882	in.weather_file_longitude	-99.28	
6883	in.weather_file_longitude	-99.32	
6884	in.weather_file_longitude	-99.33	
6885	in.weather_file_longitude	-99.47	
6886	in.weather_file_longitude	-99.64	
6887	in.weather_file_longitude	-99.68	
6888	in.weather_file_longitude	-99.77	
6889	in.weather_file_longitude	-99.78	
6890	in.weather_file_longitude	-99.83	
6891	in.weather_file_longitude	-99.84	
6892	in.weather_file_longitude	-99.85	
6893	in.weather_file_longitude	-99.97	
6894	in.weather_file_longitude	-99.98	
6895	in.window_areas	F12 B12 L12 R12	Window to wall ratio of 0.12 for all walls
6896	in.window_areas	F15 B15 L15 R15	Window to wall ratio of 0.15 for all walls
6897	in.window_areas	F18 B18 L18 R18	Window to wall ratio of 0.18 for all walls
6898	in.window_areas	F30 B30 L30 R30	Window to wall ratio of 0.30 for all walls
6899	in.window_areas	F6 B6 L6 R6	Window to wall ratio of 0.06 for all walls
6900	in.window_areas	F9 B9 L9 R9	Window to wall ratio of 0.09 for all walls
6901	in.windows	Double, Clear, Metal, Air	Double-pane, metal frame, air-filled windows
6902	in.windows	Double, Clear, Metal, Air, Exterior Clear Storm	Double-pane, metal frame, air-filled windows with storm windows
6903	in.windows	Double, Clear, Non-metal, Air	Double-pane, non-metal frame, air-filled windows
6904	in.windows	Double, Clear, Non-metal, Air, Exterior Clear Storm	Double-pane, non-metal frame, air-filled windows with storm windows
6905	in.windows	Double, Low-E, Non-metal, Air, M-Gain	Double-pane, low-E glass, non-metal frame, medium solar gain, air-filled windows
6906	in.windows	Single, Clear, Metal	Single-pane, metal frame windows
6907	in.windows	Single, Clear, Metal, Exterior Clear Storm	Single-pane, metal frame windows with storm windows
6908	in.windows	Single, Clear, Non-metal	Single-pane, non-metal frame windows
6909	in.windows	Single, Clear, Non-metal, Exterior Clear Storm	Single-pane, non-metal frame windows with storm windows
6910	in.windows	Triple, Low-E, Non-metal, Air, L-Gain	Triple-pane, low-E glass, non-metal frame, low solar gain, air-filled windows
6911	puma	AL, 00100	Public Use Microdata Area 00100
6912	puma	AL, 00200	Public Use Microdata Area 00200
6913	puma	AL, 00301	Public Use Microdata Area 00301
6914	puma	AL, 00302	Public Use Microdata Area 00302
6915	puma	AL, 00400	Public Use Microdata Area 00400
6916	puma	AL, 00500	Public Use Microdata Area 00500
6917	puma	AL, 00600	Public Use Microdata Area 00600
6918	puma	AL, 00700	Public Use Microdata Area 00700
6919	puma	AL, 00800	Public Use Microdata Area 00800
6920	puma	AL, 00900	Public Use Microdata Area 00900
6921	puma	AL, 01000	Public Use Microdata Area 01000
6922	puma	AL, 01100	Public Use Microdata Area 01100
6923	puma	AL, 01200	Public Use Microdata Area 01200
6924	puma	AL, 01301	Public Use Microdata Area 01301
6925	puma	AL, 01302	Public Use Microdata Area 01302
6926	puma	AL, 01303	Public Use Microdata Area 01303
6927	puma	AL, 01304	Public Use Microdata Area 01304
6928	puma	AL, 01305	Public Use Microdata Area 01305
6929	puma	AL, 01400	Public Use Microdata Area 01400
6930	puma	AL, 01500	Public Use Microdata Area 01500
6931	puma	AL, 01600	Public Use Microdata Area 01600
6932	puma	AL, 01700	Public Use Microdata Area 01700
6933	puma	AL, 01800	Public Use Microdata Area 01800
6934	puma	AL, 01900	Public Use Microdata Area 01900
6935	puma	AL, 02000	Public Use Microdata Area 02000
6936	puma	AL, 02100	Public Use Microdata Area 02100
6937	puma	AL, 02200	Public Use Microdata Area 02200
6938	puma	AL, 02300	Public Use Microdata Area 02300
6939	puma	AL, 02400	Public Use Microdata Area 02400
6940	puma	AL, 02500	Public Use Microdata Area 02500
6941	puma	AL, 02600	Public Use Microdata Area 02600
6942	puma	AL, 02701	Public Use Microdata Area 02701
6943	puma	AL, 02702	Public Use Microdata Area 02702
6944	puma	AL, 02703	Public Use Microdata Area 02703
6945	puma	AR, 00100	Public Use Microdata Area 00100
6946	puma	AR, 00200	Public Use Microdata Area 00200
6947	puma	AR, 00300	Public Use Microdata Area 00300
6948	puma	AR, 00400	Public Use Microdata Area 00400
6949	puma	AR, 00500	Public Use Microdata Area 00500
6950	puma	AR, 00600	Public Use Microdata Area 00600
6951	puma	AR, 00700	Public Use Microdata Area 00700
6952	puma	AR, 00800	Public Use Microdata Area 00800
6953	puma	AR, 00900	Public Use Microdata Area 00900
6954	puma	AR, 01000	Public Use Microdata Area 01000
6955	puma	AR, 01100	Public Use Microdata Area 01100
6956	puma	AR, 01200	Public Use Microdata Area 01200
6957	puma	AR, 01300	Public Use Microdata Area 01300
6958	puma	AR, 01400	Public Use Microdata Area 01400
6959	puma	AR, 01500	Public Use Microdata Area 01500
6960	puma	AR, 01600	Public Use Microdata Area 01600
6961	puma	AR, 01700	Public Use Microdata Area 01700
6962	puma	AR, 01800	Public Use Microdata Area 01800
6963	puma	AR, 01900	Public Use Microdata Area 01900
6964	puma	AR, 02000	Public Use Microdata Area 02000
6965	puma	AZ, 00100	Public Use Microdata Area 00100
6966	puma	AZ, 00101	Public Use Microdata Area 00101
6967	puma	AZ, 00102	Public Use Microdata Area 00102
6968	puma	AZ, 00103	Public Use Microdata Area 00103
6969	puma	AZ, 00104	Public Use Microdata Area 00104
6970	puma	AZ, 00105	Public Use Microdata Area 00105
6971	puma	AZ, 00106	Public Use Microdata Area 00106
6972	puma	AZ, 00107	Public Use Microdata Area 00107
6973	puma	AZ, 00108	Public Use Microdata Area 00108
6974	puma	AZ, 00109	Public Use Microdata Area 00109
6975	puma	AZ, 00110	Public Use Microdata Area 00110
6976	puma	AZ, 00111	Public Use Microdata Area 00111
6977	puma	AZ, 00112	Public Use Microdata Area 00112
6978	puma	AZ, 00113	Public Use Microdata Area 00113
6979	puma	AZ, 00114	Public Use Microdata Area 00114
6980	puma	AZ, 00115	Public Use Microdata Area 00115
6981	puma	AZ, 00116	Public Use Microdata Area 00116
6982	puma	AZ, 00117	Public Use Microdata Area 00117
6983	puma	AZ, 00118	Public Use Microdata Area 00118
6984	puma	AZ, 00119	Public Use Microdata Area 00119
6985	puma	AZ, 00120	Public Use Microdata Area 00120
6986	puma	AZ, 00121	Public Use Microdata Area 00121
6987	puma	AZ, 00122	Public Use Microdata Area 00122
6988	puma	AZ, 00123	Public Use Microdata Area 00123
6989	puma	AZ, 00124	Public Use Microdata Area 00124
6990	puma	AZ, 00125	Public Use Microdata Area 00125
6991	puma	AZ, 00126	Public Use Microdata Area 00126
6992	puma	AZ, 00127	Public Use Microdata Area 00127
6993	puma	AZ, 00128	Public Use Microdata Area 00128
6994	puma	AZ, 00129	Public Use Microdata Area 00129
6995	puma	AZ, 00130	Public Use Microdata Area 00130
6996	puma	AZ, 00131	Public Use Microdata Area 00131
6997	puma	AZ, 00132	Public Use Microdata Area 00132
6998	puma	AZ, 00133	Public Use Microdata Area 00133
6999	puma	AZ, 00134	Public Use Microdata Area 00134
7000	puma	AZ, 00201	Public Use Microdata Area 00201
7001	puma	AZ, 00202	Public Use Microdata Area 00202
7002	puma	AZ, 00203	Public Use Microdata Area 00203
7003	puma	AZ, 00204	Public Use Microdata Area 00204
7004	puma	AZ, 00205	Public Use Microdata Area 00205
7005	puma	AZ, 00206	Public Use Microdata Area 00206
7006	puma	AZ, 00207	Public Use Microdata Area 00207
7007	puma	AZ, 00208	Public Use Microdata Area 00208
7008	puma	AZ, 00209	Public Use Microdata Area 00209
7009	puma	AZ, 00300	Public Use Microdata Area 00300
7010	puma	AZ, 00400	Public Use Microdata Area 00400
7011	puma	AZ, 00500	Public Use Microdata Area 00500
7012	puma	AZ, 00600	Public Use Microdata Area 00600
7013	puma	AZ, 00700	Public Use Microdata Area 00700
7014	puma	AZ, 00800	Public Use Microdata Area 00800
7015	puma	AZ, 00803	Public Use Microdata Area 00803
7016	puma	AZ, 00805	Public Use Microdata Area 00805
7017	puma	AZ, 00807	Public Use Microdata Area 00807
7018	puma	AZ, 00900	Public Use Microdata Area 00900
7019	puma	CA, 00101	Public Use Microdata Area 00101
7020	puma	CA, 00102	Public Use Microdata Area 00102
7021	puma	CA, 00103	Public Use Microdata Area 00103
7022	puma	CA, 00104	Public Use Microdata Area 00104
7023	puma	CA, 00105	Public Use Microdata Area 00105
7024	puma	CA, 00106	Public Use Microdata Area 00106
7025	puma	CA, 00107	Public Use Microdata Area 00107
7026	puma	CA, 00108	Public Use Microdata Area 00108
7027	puma	CA, 00109	Public Use Microdata Area 00109
7028	puma	CA, 00110	Public Use Microdata Area 00110
7029	puma	CA, 00300	Public Use Microdata Area 00300
7030	puma	CA, 00701	Public Use Microdata Area 00701
7031	puma	CA, 00702	Public Use Microdata Area 00702
7032	puma	CA, 01100	Public Use Microdata Area 01100
7033	puma	CA, 01301	Public Use Microdata Area 01301
7034	puma	CA, 01302	Public Use Microdata Area 01302
7035	puma	CA, 01303	Public Use Microdata Area 01303
7036	puma	CA, 01304	Public Use Microdata Area 01304
7037	puma	CA, 01305	Public Use Microdata Area 01305
7038	puma	CA, 01306	Public Use Microdata Area 01306
7039	puma	CA, 01307	Public Use Microdata Area 01307
7040	puma	CA, 01308	Public Use Microdata Area 01308
7041	puma	CA, 01309	Public Use Microdata Area 01309
7042	puma	CA, 01500	Public Use Microdata Area 01500
7043	puma	CA, 01700	Public Use Microdata Area 01700
7044	puma	CA, 01901	Public Use Microdata Area 01901
7045	puma	CA, 01902	Public Use Microdata Area 01902
7046	puma	CA, 01903	Public Use Microdata Area 01903
7047	puma	CA, 01904	Public Use Microdata Area 01904
7048	puma	CA, 01905	Public Use Microdata Area 01905
7049	puma	CA, 01906	Public Use Microdata Area 01906
7050	puma	CA, 01907	Public Use Microdata Area 01907
7051	puma	CA, 02300	Public Use Microdata Area 02300
7052	puma	CA, 02500	Public Use Microdata Area 02500
7053	puma	CA, 02901	Public Use Microdata Area 02901
7054	puma	CA, 02902	Public Use Microdata Area 02902
7055	puma	CA, 02903	Public Use Microdata Area 02903
7056	puma	CA, 02904	Public Use Microdata Area 02904
7057	puma	CA, 02905	Public Use Microdata Area 02905
7058	puma	CA, 03100	Public Use Microdata Area 03100
7059	puma	CA, 03300	Public Use Microdata Area 03300
7060	puma	CA, 03701	Public Use Microdata Area 03701
7061	puma	CA, 03702	Public Use Microdata Area 03702
7062	puma	CA, 03703	Public Use Microdata Area 03703
7063	puma	CA, 03704	Public Use Microdata Area 03704
7064	puma	CA, 03705	Public Use Microdata Area 03705
7065	puma	CA, 03706	Public Use Microdata Area 03706
7066	puma	CA, 03707	Public Use Microdata Area 03707
7067	puma	CA, 03708	Public Use Microdata Area 03708
7068	puma	CA, 03709	Public Use Microdata Area 03709
7069	puma	CA, 03710	Public Use Microdata Area 03710
7070	puma	CA, 03711	Public Use Microdata Area 03711
7071	puma	CA, 03712	Public Use Microdata Area 03712
7072	puma	CA, 03713	Public Use Microdata Area 03713
7073	puma	CA, 03714	Public Use Microdata Area 03714
7074	puma	CA, 03715	Public Use Microdata Area 03715
7075	puma	CA, 03716	Public Use Microdata Area 03716
7076	puma	CA, 03717	Public Use Microdata Area 03717
7077	puma	CA, 03718	Public Use Microdata Area 03718
7078	puma	CA, 03719	Public Use Microdata Area 03719
7079	puma	CA, 03720	Public Use Microdata Area 03720
7080	puma	CA, 03721	Public Use Microdata Area 03721
7081	puma	CA, 03722	Public Use Microdata Area 03722
7082	puma	CA, 03723	Public Use Microdata Area 03723
7083	puma	CA, 03724	Public Use Microdata Area 03724
7084	puma	CA, 03725	Public Use Microdata Area 03725
7085	puma	CA, 03726	Public Use Microdata Area 03726
7086	puma	CA, 03727	Public Use Microdata Area 03727
7087	puma	CA, 03728	Public Use Microdata Area 03728
7088	puma	CA, 03729	Public Use Microdata Area 03729
7089	puma	CA, 03730	Public Use Microdata Area 03730
7090	puma	CA, 03731	Public Use Microdata Area 03731
7091	puma	CA, 03732	Public Use Microdata Area 03732
7092	puma	CA, 03733	Public Use Microdata Area 03733
7093	puma	CA, 03734	Public Use Microdata Area 03734
7094	puma	CA, 03735	Public Use Microdata Area 03735
7095	puma	CA, 03736	Public Use Microdata Area 03736
7096	puma	CA, 03737	Public Use Microdata Area 03737
7097	puma	CA, 03738	Public Use Microdata Area 03738
7098	puma	CA, 03739	Public Use Microdata Area 03739
7099	puma	CA, 03740	Public Use Microdata Area 03740
7100	puma	CA, 03741	Public Use Microdata Area 03741
7101	puma	CA, 03742	Public Use Microdata Area 03742
7102	puma	CA, 03743	Public Use Microdata Area 03743
7103	puma	CA, 03744	Public Use Microdata Area 03744
7104	puma	CA, 03745	Public Use Microdata Area 03745
7105	puma	CA, 03746	Public Use Microdata Area 03746
7106	puma	CA, 03747	Public Use Microdata Area 03747
7107	puma	CA, 03748	Public Use Microdata Area 03748
7108	puma	CA, 03749	Public Use Microdata Area 03749
7109	puma	CA, 03750	Public Use Microdata Area 03750
7110	puma	CA, 03751	Public Use Microdata Area 03751
7111	puma	CA, 03752	Public Use Microdata Area 03752
7112	puma	CA, 03753	Public Use Microdata Area 03753
7113	puma	CA, 03754	Public Use Microdata Area 03754
7114	puma	CA, 03755	Public Use Microdata Area 03755
7115	puma	CA, 03756	Public Use Microdata Area 03756
7116	puma	CA, 03757	Public Use Microdata Area 03757
7117	puma	CA, 03758	Public Use Microdata Area 03758
7118	puma	CA, 03759	Public Use Microdata Area 03759
7119	puma	CA, 03760	Public Use Microdata Area 03760
7120	puma	CA, 03761	Public Use Microdata Area 03761
7121	puma	CA, 03762	Public Use Microdata Area 03762
7122	puma	CA, 03763	Public Use Microdata Area 03763
7123	puma	CA, 03764	Public Use Microdata Area 03764
7124	puma	CA, 03765	Public Use Microdata Area 03765
7125	puma	CA, 03766	Public Use Microdata Area 03766
7126	puma	CA, 03767	Public Use Microdata Area 03767
7127	puma	CA, 03768	Public Use Microdata Area 03768
7128	puma	CA, 03769	Public Use Microdata Area 03769
7129	puma	CA, 03900	Public Use Microdata Area 03900
7130	puma	CA, 04101	Public Use Microdata Area 04101
7131	puma	CA, 04102	Public Use Microdata Area 04102
7132	puma	CA, 04701	Public Use Microdata Area 04701
7133	puma	CA, 04702	Public Use Microdata Area 04702
7134	puma	CA, 05301	Public Use Microdata Area 05301
7135	puma	CA, 05302	Public Use Microdata Area 05302
7136	puma	CA, 05303	Public Use Microdata Area 05303
7137	puma	CA, 05500	Public Use Microdata Area 05500
7138	puma	CA, 05700	Public Use Microdata Area 05700
7139	puma	CA, 05901	Public Use Microdata Area 05901
7140	puma	CA, 05902	Public Use Microdata Area 05902
7141	puma	CA, 05903	Public Use Microdata Area 05903
7142	puma	CA, 05904	Public Use Microdata Area 05904
7143	puma	CA, 05905	Public Use Microdata Area 05905
7144	puma	CA, 05906	Public Use Microdata Area 05906
7145	puma	CA, 05907	Public Use Microdata Area 05907
7146	puma	CA, 05908	Public Use Microdata Area 05908
7147	puma	CA, 05909	Public Use Microdata Area 05909
7148	puma	CA, 05910	Public Use Microdata Area 05910
7149	puma	CA, 05911	Public Use Microdata Area 05911
7150	puma	CA, 05912	Public Use Microdata Area 05912
7151	puma	CA, 05913	Public Use Microdata Area 05913
7152	puma	CA, 05914	Public Use Microdata Area 05914
7153	puma	CA, 05915	Public Use Microdata Area 05915
7154	puma	CA, 05916	Public Use Microdata Area 05916
7155	puma	CA, 05917	Public Use Microdata Area 05917
7156	puma	CA, 05918	Public Use Microdata Area 05918
7157	puma	CA, 06101	Public Use Microdata Area 06101
7158	puma	CA, 06102	Public Use Microdata Area 06102
7159	puma	CA, 06103	Public Use Microdata Area 06103
7160	puma	CA, 06501	Public Use Microdata Area 06501
7161	puma	CA, 06502	Public Use Microdata Area 06502
7162	puma	CA, 06503	Public Use Microdata Area 06503
7163	puma	CA, 06504	Public Use Microdata Area 06504
7164	puma	CA, 06505	Public Use Microdata Area 06505
7165	puma	CA, 06506	Public Use Microdata Area 06506
7166	puma	CA, 06507	Public Use Microdata Area 06507
7167	puma	CA, 06508	Public Use Microdata Area 06508
7168	puma	CA, 06509	Public Use Microdata Area 06509
7169	puma	CA, 06510	Public Use Microdata Area 06510
7170	puma	CA, 06511	Public Use Microdata Area 06511
7171	puma	CA, 06512	Public Use Microdata Area 06512
7172	puma	CA, 06513	Public Use Microdata Area 06513
7173	puma	CA, 06514	Public Use Microdata Area 06514
7174	puma	CA, 06515	Public Use Microdata Area 06515
7175	puma	CA, 06701	Public Use Microdata Area 06701
7176	puma	CA, 06702	Public Use Microdata Area 06702
7177	puma	CA, 06703	Public Use Microdata Area 06703
7178	puma	CA, 06704	Public Use Microdata Area 06704
7179	puma	CA, 06705	Public Use Microdata Area 06705
7180	puma	CA, 06706	Public Use Microdata Area 06706
7181	puma	CA, 06707	Public Use Microdata Area 06707
7182	puma	CA, 06708	Public Use Microdata Area 06708
7183	puma	CA, 06709	Public Use Microdata Area 06709
7184	puma	CA, 06710	Public Use Microdata Area 06710
7185	puma	CA, 06711	Public Use Microdata Area 06711
7186	puma	CA, 06712	Public Use Microdata Area 06712
7187	puma	CA, 07101	Public Use Microdata Area 07101
7188	puma	CA, 07102	Public Use Microdata Area 07102
7189	puma	CA, 07103	Public Use Microdata Area 07103
7190	puma	CA, 07104	Public Use Microdata Area 07104
7191	puma	CA, 07105	Public Use Microdata Area 07105
7192	puma	CA, 07106	Public Use Microdata Area 07106
7193	puma	CA, 07107	Public Use Microdata Area 07107
7194	puma	CA, 07108	Public Use Microdata Area 07108
7195	puma	CA, 07109	Public Use Microdata Area 07109
7196	puma	CA, 07110	Public Use Microdata Area 07110
7197	puma	CA, 07111	Public Use Microdata Area 07111
7198	puma	CA, 07112	Public Use Microdata Area 07112
7199	puma	CA, 07113	Public Use Microdata Area 07113
7200	puma	CA, 07114	Public Use Microdata Area 07114
7201	puma	CA, 07115	Public Use Microdata Area 07115
7202	puma	CA, 07301	Public Use Microdata Area 07301
7203	puma	CA, 07302	Public Use Microdata Area 07302
7204	puma	CA, 07303	Public Use Microdata Area 07303
7205	puma	CA, 07304	Public Use Microdata Area 07304
7206	puma	CA, 07305	Public Use Microdata Area 07305
7207	puma	CA, 07306	Public Use Microdata Area 07306
7208	puma	CA, 07307	Public Use Microdata Area 07307
7209	puma	CA, 07308	Public Use Microdata Area 07308
7210	puma	CA, 07309	Public Use Microdata Area 07309
7211	puma	CA, 07310	Public Use Microdata Area 07310
7212	puma	CA, 07311	Public Use Microdata Area 07311
7213	puma	CA, 07312	Public Use Microdata Area 07312
7214	puma	CA, 07313	Public Use Microdata Area 07313
7215	puma	CA, 07314	Public Use Microdata Area 07314
7216	puma	CA, 07315	Public Use Microdata Area 07315
7217	puma	CA, 07316	Public Use Microdata Area 07316
7218	puma	CA, 07317	Public Use Microdata Area 07317
7219	puma	CA, 07318	Public Use Microdata Area 07318
7220	puma	CA, 07319	Public Use Microdata Area 07319
7221	puma	CA, 07320	Public Use Microdata Area 07320
7222	puma	CA, 07321	Public Use Microdata Area 07321
7223	puma	CA, 07322	Public Use Microdata Area 07322
7224	puma	CA, 07501	Public Use Microdata Area 07501
7225	puma	CA, 07502	Public Use Microdata Area 07502
7226	puma	CA, 07503	Public Use Microdata Area 07503
7227	puma	CA, 07504	Public Use Microdata Area 07504
7228	puma	CA, 07505	Public Use Microdata Area 07505
7229	puma	CA, 07506	Public Use Microdata Area 07506
7230	puma	CA, 07507	Public Use Microdata Area 07507
7231	puma	CA, 07701	Public Use Microdata Area 07701
7232	puma	CA, 07702	Public Use Microdata Area 07702
7233	puma	CA, 07703	Public Use Microdata Area 07703
7234	puma	CA, 07704	Public Use Microdata Area 07704
7235	puma	CA, 07901	Public Use Microdata Area 07901
7236	puma	CA, 07902	Public Use Microdata Area 07902
7237	puma	CA, 08101	Public Use Microdata Area 08101
7238	puma	CA, 08102	Public Use Microdata Area 08102
7239	puma	CA, 08103	Public Use Microdata Area 08103
7240	puma	CA, 08104	Public Use Microdata Area 08104
7241	puma	CA, 08105	Public Use Microdata Area 08105
7242	puma	CA, 08106	Public Use Microdata Area 08106
7243	puma	CA, 08301	Public Use Microdata Area 08301
7244	puma	CA, 08302	Public Use Microdata Area 08302
7245	puma	CA, 08303	Public Use Microdata Area 08303
7246	puma	CA, 08501	Public Use Microdata Area 08501
7247	puma	CA, 08502	Public Use Microdata Area 08502
7248	puma	CA, 08503	Public Use Microdata Area 08503
7249	puma	CA, 08504	Public Use Microdata Area 08504
7250	puma	CA, 08505	Public Use Microdata Area 08505
7251	puma	CA, 08506	Public Use Microdata Area 08506
7252	puma	CA, 08507	Public Use Microdata Area 08507
7253	puma	CA, 08508	Public Use Microdata Area 08508
7254	puma	CA, 08509	Public Use Microdata Area 08509
7255	puma	CA, 08510	Public Use Microdata Area 08510
7256	puma	CA, 08511	Public Use Microdata Area 08511
7257	puma	CA, 08512	Public Use Microdata Area 08512
7258	puma	CA, 08513	Public Use Microdata Area 08513
7259	puma	CA, 08514	Public Use Microdata Area 08514
7260	puma	CA, 08701	Public Use Microdata Area 08701
7261	puma	CA, 08702	Public Use Microdata Area 08702
7262	puma	CA, 08900	Public Use Microdata Area 08900
7263	puma	CA, 09501	Public Use Microdata Area 09501
7264	puma	CA, 09502	Public Use Microdata Area 09502
7265	puma	CA, 09503	Public Use Microdata Area 09503
7266	puma	CA, 09701	Public Use Microdata Area 09701
7267	puma	CA, 09702	Public Use Microdata Area 09702
7268	puma	CA, 09703	Public Use Microdata Area 09703
7269	puma	CA, 09901	Public Use Microdata Area 09901
7270	puma	CA, 09902	Public Use Microdata Area 09902
7271	puma	CA, 09903	Public Use Microdata Area 09903
7272	puma	CA, 09904	Public Use Microdata Area 09904
7273	puma	CA, 10100	Public Use Microdata Area 10100
7274	puma	CA, 10701	Public Use Microdata Area 10701
7275	puma	CA, 10702	Public Use Microdata Area 10702
7276	puma	CA, 10703	Public Use Microdata Area 10703
7277	puma	CA, 11101	Public Use Microdata Area 11101
7278	puma	CA, 11102	Public Use Microdata Area 11102
7279	puma	CA, 11103	Public Use Microdata Area 11103
7280	puma	CA, 11104	Public Use Microdata Area 11104
